Month,Value
1999 Apr,3.40
1999 Aug,5.89
1999 Dec,-0.56
1999 Feb,8.22
1999 Jan,7.48
1999 July,6.78
1999 June,6.39
1999 Mar,10.40
1999 May,2.47
1999 Nov,6.26
1999 Oct,7.63
1999 Sept,4.32
2000 Apr,10.91
2000 Aug,4.97
2000 Dec,11.25
2000 Feb,8.09
2000 Jan,0.31
2000 July,7.48
2000 June,5.09
2000 Mar,2.93
2000 May,9.10
2000 Nov,5.01
2000 Oct,3.61
2000 Sept,6.80
2001 Apr,0.45
2001 Aug,1.37
2001 Dec,-7.96
2001 Feb,0.84
2001 Jan,7.94
2001 July,0.19
2001 June,3.00
2001 Mar,0.73
2001 May,-1.28
2001 Nov,-12.72
2001 Oct,-14.84
2001 Sept,-8.26
2002 Apr,-6.11
2002 Aug,1.09
2002 Dec,15.51
2002 Feb,-1.01
2002 Jan,-5.08
2002 July,-0.84
2002 June,-2.39
2002 Mar,2.36
2002 May,-0.68
2002 Nov,15.28
2002 Oct,17.38
2002 Sept,8.67
2003 Apr,0.07
2003 Aug,3.19
2003 Dec,6.02
2003 Feb,5.38
2003 Jan,10.50
2003 July,1.22
2003 June,1.88
2003 Mar,-4.42
2003 May,0.65
2003 Nov,6.35
2003 Oct,3.33
2003 Sept,1.55
2004 Apr,15.79
2004 Aug,3.32
2004 Dec,4.34
2004 Feb,8.92
2004 Jan,4.73
2004 July,7.64
2004 June,7.06
2004 Mar,10.24
2004 May,8.96
2004 Nov,2.84
2004 Oct,4.70
2004 Sept,4.98
2005 Apr,0.67
2005 Aug,-0.60
2005 Dec,1.34
2005 Feb,0.91
2005 Jan,7.71
2005 July,1.68
2005 June,3.54
2005 Mar,8.38
2005 May,4.61
2005 Nov,1.75
2005 Oct,0.32
2005 Sept,2.42
2006 Apr,8.17
2006 Aug,0.83
2006 Dec,1.52
2006 Feb,2.23
2006 Jan,1.15
2006 July,3.82
2006 June,4.25
2006 Mar,-1.85
2006 May,3.96
2006 Nov,1.53
2006 Oct,1.67
2006 Sept,0.84
2007 Apr,-1.61
2007 Aug,6.21
2007 Dec,1.36
2007 Feb,0.71
2007 Jan,1.18
2007 July,0.50
2007 June,-0.58
2007 Mar,3.91
2007 May,-0.12
2007 Nov,2.30
2007 Oct,4.32
2007 Sept,3.13
2008 Apr,-3.08
2008 Aug,-1.25
2008 Dec,-6.71
2008 Feb,3.48
2008 Jan,-1.50
2008 July,-1.30
2008 June,-1.56
2008 Mar,1.65
2008 May,0.28
2008 Nov,-8.30
2008 Oct,-5.81
2008 Sept,-4.44
2009 Apr,-2.12
2009 Aug,-3.08
2009 Dec,0.68
2009 Feb,-11.98
2009 Jan,-6.04
2009 July,-2.27
2009 June,-6.06
2009 Mar,-11.57
2009 May,-7.63
2009 Nov,1.23
2009 Oct,-1.16
2009 Sept,-2.78
2010 Apr,-21.33
2010 Aug,0.11
2010 Dec,-10.48
2010 Feb,3.38
2010 Jan,-2.37
2010 July,-0.07
2010 June,-0.73
2010 Mar,0.64
2010 May,-2.92
2010 Nov,1.74
2010 Oct,3.62
2010 Sept,2.54
2011 Apr,31.34
2011 Aug,0.58
2011 Dec,13.59
2011 Feb,-0.30
2011 Jan,3.91
2011 July,1.85
2011 June,4.27
2011 Mar,0.17
2011 May,8.30
2011 Nov,-1.11
2011 Oct,-0.80
2011 Sept,1.72
2012 Apr,-0.68
2012 Aug,-1.69
2012 Dec,1.70
2012 Feb,2.28
2012 Jan,1.54
2012 July,-3.32
2012 June,1.36
2012 Mar,4.20
2012 May,-0.54
2012 Nov,4.07
2012 Oct,0.15
2012 Sept,0.39
2013 Apr,0.62
2013 Aug,5.38
2013 Dec,4.06
2013 Feb,0.49
2013 Jan,-3.39
2013 July,4.70
2013 June,4.15
2013 Mar,3.62
2013 May,6.64
2013 Nov,2.26
2013 Oct,4.20
2013 Sept,3.06
2014 Apr,9.33
2014 Feb,3.54
2014 Jan,8.84
2014 July,3.74
2014 June,3.90
2014 Mar,-0.36
2014 May,3.87
